127.0.0.1 - - [09/Oct/2017:16:50:19 +0530] "GET /exam/questions1.html HTTP/1.1" 200 2991
127.0.0.1 - - [09/Oct/2017:16:50:19 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:16:50:19 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:16:51:48 +0530] "GET /exam/questions1.html HTTP/1.1" 200 3002
127.0.0.1 - - [09/Oct/2017:16:51:48 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:16:51:48 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:16:51:54 +0530] "GET /exam/questions1.html HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:16:51:54 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:16:51:54 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:16:53:14 +0530] "GET /exam/questions1.html HTTP/1.1" 200 3003
127.0.0.1 - - [09/Oct/2017:16:53:14 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:16:53:14 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
127.0.0.1 - - [09/Oct/2017:16:54:36 +0530] "GET /exam/questions1.html HTTP/1.1" 200 3021
127.0.0.1 - - [09/Oct/2017:16:54:36 +0530] "GET /exam/al.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Oct/2017:16:54:36 +0530] "POST /exam/ExamApp HTTP/1.1" 200 248
